wages,gender,race,union,edu,exp,age
21.47,0,0,0,16,8,30
5,0,1,0,12,12,30
12.5,1,1,0,12,42,60
25.48,1,1,0,20,27,53
14.41,0,1,1,12,22,40
10.1,0,1,1,16,4,26
7.2,0,1,0,12,5,23
14.4,1,1,0,12,19,37
9.1,1,1,1,12,32,50
23.08,0,0,0,20,3,29
7,1,0,0,16,3,25
19.28,0,0,0,12,15,33
8.71,1,0,0,12,17,35
9.38,1,0,0,12,43,61
12,0,0,0,9,23,38
13,0,0,0,12,10,28
9.63,0,0,0,12,15,33
16.45,1,0,0,16,41,63
5,1,0,0,12,20,38
20.83,1,0,0,14,26,46
7,0,1,0,12,8,26
10,0,0,0,12,6,24
13,0,1,0,12,44,62
22,0,0,0,12,22,40
8,0,0,0,14,2,22
6,0,0,0,12,22,40
23.09,1,0,0,20,17,43
19.23,1,0,0,16,27,49
8,0,0,0,14,4,24
11.11,0,0,0,12,14,32
4.6,1,1,1,5,43,54
11.82,0,0,0,14,37,57
4.55,0,0,0,12,5,23
10,0,0,0,12,19,37
7.41,1,1,0,10,29,45
28.83,0,0,0,16,21,43
4.5,1,0,0,11,1,18
11,0,0,0,12,16,34
10.08,1,0,0,12,39,57
9.05,1,0,0,12,38,56
8,1,1,0,12,9,27
5.15,1,1,0,12,2,20
5,0,1,0,12,3,21
12.03,1,0,0,12,6,24
16.83,1,0,0,16,25,47
2.1,1,0,0,18,27,51
28.23,0,0,0,20,24,50
7,0,0,0,9,17,32
6,1,1,0,12,5,23
10.1,1,0,0,18,15,39
18,1,0,0,14,6,26
6.75,1,0,0,12,22,40
11.21,1,0,1,12,11,29
10,0,0,0,12,31,49
5,1,1,0,11,39,56
15,1,0,0,12,15,33
14.09,0,0,0,12,19,37
6.93,1,0,0,12,10,28
6.74,1,1,0,12,20,38
16,0,0,0,14,17,37
6.25,1,0,0,11,34,51
10,0,0,0,14,32,52
9.58,1,0,0,12,14,32
21.15,1,0,0,18,15,39
6.5,0,0,0,9,3,18
8.03,1,0,0,7,38,51
24.03,0,0,0,14,36,56
12.98,0,0,0,16,23,45
23.4,0,0,0,20,6,32
15.88,1,1,0,12,15,33
11.78,0,0,0,12,41,59
7,1,0,0,12,39,57
15.1,0,0,0,16,16,38
21,1,0,0,14,25,45
5.5,1,1,0,16,10,32
9.32,0,1,1,12,12,30
14.43,1,1,0,12,29,47
4,0,1,0,1,33,40
8.75,0,0,0,9,31,46
8.5,0,0,0,9,7,22
8,0,0,0,7,30,43
25,0,1,0,20,2,28
24.03,0,0,0,18,24,48
6,1,0,0,14,36,56
5.82,0,1,0,12,11,29
15,0,0,0,12,15,33
11.5,1,1,1,16,29,51
24.03,0,1,1,14,40,60
4.25,1,1,0,12,9,27
8.65,1,1,0,10,8,24
5.5,0,1,0,12,1,19
19.19,0,1,1,12,39,57
19.1,1,0,1,18,26,50
14,0,1,0,12,26,44
4.44,0,0,0,16,15,37
16.83,1,0,0,18,28,52
7,1,0,0,12,24,42
23.17,0,0,0,12,37,55
10.98,0,0,0,12,11,29
5.25,0,1,0,12,0,18
17.3,0,0,0,14,26,46
7.18,1,0,1,12,21,39
6.25,0,0,0,16,22,44
7,1,0,0,12,46,64
11.54,1,0,1,12,35,53
7.3,1,0,0,12,0,18
7,1,0,0,16,3,25
8,0,0,0,12,8,26
7,0,0,1,12,41,59
5.5,1,1,0,12,2,20
10,1,1,0,12,9,27
40,0,0,0,18,41,65
11.54,1,0,0,16,3,25
14.43,1,0,0,12,6,24
22.5,0,0,0,18,3,27
8.42,1,0,0,12,23,41
13.75,0,0,0,12,36,54
5.34,1,0,0,12,32,50
12.03,0,1,0,12,8,26
7,1,1,1,12,7,25
5.1,0,0,0,5,36,47
12.5,1,0,0,18,0,24
16,1,0,0,16,9,31
25,0,0,1,12,24,42
12.98,0,0,1,12,37,55
6.92,1,0,0,1,26,33
9.38,1,1,0,18,9,33
37.5,0,0,0,16,35,57
19.23,0,0,0,20,12,38
11.19,1,0,0,16,29,51
11.5,1,0,0,12,29,47
14.64,1,0,0,14,12,32
25,0,0,1,14,30,50
9,0,0,0,11,13,30
14.91,1,0,0,12,20,38
8.5,0,0,0,14,2,22
21.16,0,0,0,16,9,31
17.05,1,0,0,18,23,47
6.1,1,0,0,12,6,24
15.95,0,0,0,16,14,36
9.79,0,0,1,12,21,39
14.16,1,0,0,16,9,31
28.38,0,0,0,14,31,51
5.5,0,0,0,1,25,32
5,0,0,1,12,9,27
11.53,1,0,0,12,26,44
16,0,0,0,16,7,29
33.22,0,0,0,18,13,37
12,0,0,0,12,15,33
19.25,1,0,0,12,22,40
38.45,1,0,0,12,32,50
4.25,1,0,0,12,3,21
0.84,1,0,0,10,35,51
7.06,1,1,0,12,12,30
4.75,1,0,0,12,1,19
4,0,1,0,12,7,25
15,1,0,0,11,38,55
23.08,0,0,0,16,8,30
17.5,1,0,0,18,38,62
13.75,1,0,0,12,14,32
5,1,0,0,12,17,35
8,0,0,0,11,5,22
10,1,0,0,12,9,27
21.02,0,0,0,16,9,31
6.04,1,0,0,12,21,39
7,1,0,0,12,8,26
4.25,0,1,0,12,3,21
11,1,0,1,12,23,41
4.5,0,0,0,9,23,38
18,0,0,1,12,28,46
9,0,0,0,12,6,24
12,1,0,0,14,16,36
17.86,0,0,1,16,22,44
26.92,0,0,0,16,31,53
16.25,1,0,0,16,13,35
8.75,0,0,0,12,17,35
14.48,1,0,0,18,12,36
24.05,0,0,1,14,26,46
3.85,0,0,0,12,18,36
27.88,0,0,0,16,27,49
5,1,0,0,12,43,61
16.5,0,0,0,16,12,34
7.21,1,0,0,12,33,51
13.45,1,0,0,12,38,56
10.05,0,0,0,11,22,39
4.25,1,0,0,12,5,23
6.75,1,0,0,12,22,40
15,0,0,1,20,16,42
7.5,1,0,0,18,19,43
8.5,0,0,0,14,6,26
7.21,1,0,0,12,20,38
9.02,0,0,0,12,25,43
5,1,0,0,12,9,27
5.35,1,0,0,14,8,28
6,0,0,0,12,4,22
9,1,0,0,12,29,47
2.3,1,0,0,12,5,23
5,1,0,0,12,3,21
11.35,1,0,0,7,35,48
5,0,0,0,12,2,20
8,0,0,0,12,5,23
7.99,0,0,0,12,20,38
14,1,0,1,12,24,42
10.58,1,0,0,14,3,23
15.38,0,0,0,11,24,41
15,0,0,0,16,8,30
13,1,0,0,14,32,52
4.44,0,1,0,12,6,24
15.43,1,1,0,12,31,49
9,0,0,0,12,4,22
14.18,1,0,0,12,39,57
14.96,0,0,0,16,9,31
30.78,0,0,0,20,27,53
17,0,0,0,12,24,42
8.5,1,0,0,14,13,33
6.75,1,0,0,16,6,28
12.5,0,0,0,12,10,28
22.3,0,0,0,16,20,42
5,0,0,0,16,21,43
4.9,0,0,0,12,3,21
13.75,0,0,1,12,40,58
8.6,1,1,0,12,17,35
6.52,0,0,0,12,46,64
4.8,1,0,0,12,15,33
16,0,0,1,12,28,46
5,0,0,0,11,1,18
5.75,0,0,0,12,3,21
7,1,1,0,12,25,43
8.85,1,1,0,12,15,33
18.87,0,0,0,14,14,34
30.75,0,0,0,18,27,51
5.3,1,0,0,12,15,33
28.83,1,0,0,14,20,40
4.33,1,0,0,11,26,43
6.04,0,0,0,12,34,52
18.69,0,0,1,16,9,31
13.5,1,0,0,12,36,54
17.89,1,0,1,12,24,42
13.75,1,0,0,16,9,31
7.2,1,0,0,12,11,29
7,1,0,0,12,1,19
5,1,0,0,12,10,28
17,1,0,0,12,38,56
10,0,0,1,12,9,27
28.85,0,1,0,12,20,38
13.5,1,0,0,16,2,24
7,1,0,0,16,11,33
13.44,1,1,1,12,16,34
6,1,1,0,12,4,22
9,0,0,1,12,0,18
10.1,0,1,0,12,11,29
16.83,0,1,0,12,27,45
20.2,1,0,0,12,15,33
8,1,0,0,12,41,59
12.13,1,0,0,12,23,41
3,1,0,0,16,2,24
4.35,1,0,0,12,18,36
15.06,1,0,1,16,28,50
5.25,1,0,0,16,5,27
21.15,1,0,0,12,17,35
16.83,0,0,0,12,40,58
8.75,1,0,0,9,48,63
9.47,1,0,0,12,24,42
9.05,1,0,0,12,27,45
11.53,0,0,0,12,14,32
13,1,0,0,12,38,56
5,1,0,0,16,6,28
11,0,0,0,12,29,47
10.67,1,0,0,12,21,39
9.5,0,0,0,12,6,24
17.78,0,0,0,12,18,36
26.93,1,0,0,16,13,35
10,1,0,0,12,41,59
28.35,0,0,0,16,34,56
8,0,0,0,7,30,43
20.68,1,0,1,18,20,44
21.63,1,0,0,16,11,33
16.3,0,0,1,12,21,39
19.94,1,0,0,18,34,58
11.25,1,0,1,11,40,57
11.73,0,0,0,16,22,44
12,1,0,0,14,20,40
18.16,1,0,1,14,32,52
7.15,0,0,0,12,1,19
38.45,1,0,0,18,18,42
25.43,1,0,0,18,17,41
18.46,1,0,0,18,27,51
36.05,0,1,0,18,9,33
7.88,1,0,0,20,15,41
6,1,0,1,12,5,23
38.46,0,0,0,16,31,53
25.89,1,0,0,16,12,34
48.08,0,0,0,16,38,60
9.5,0,0,0,12,18,36
16.6,1,0,0,16,16,38
6.5,1,0,0,11,21,38
8,1,0,0,12,6,24
18.75,1,0,0,12,30,48
6.5,1,0,0,10,42,58
12.5,1,0,0,16,19,41
17,0,0,1,14,27,47
5.35,1,0,0,12,13,31
39,0,0,0,16,25,47
12.5,0,0,1,12,26,44
10.84,1,0,0,12,38,56
9,1,0,0,12,31,49
8,0,0,0,12,6,24
8.5,1,0,0,16,7,29
5.75,1,1,0,16,12,34
9,1,0,0,12,26,44
8,0,0,0,9,22,37
17.3,0,0,1,18,22,46
5,1,0,0,12,14,32
5,0,0,0,12,35,53
21.9,0,0,1,14,17,37
10.05,1,0,1,12,23,41
17.75,0,0,0,12,21,39
4.6,1,0,0,12,3,21
4.25,1,0,0,12,6,24
9.34,0,0,1,12,29,47
8.56,1,0,0,12,12,30
25,0,0,0,12,6,24
7,1,0,0,12,28,46
23.95,0,0,1,16,40,62
4.65,0,0,0,12,35,53
7.15,0,0,0,14,4,24
9.89,1,0,0,12,35,53
18.65,1,0,1,18,15,39
11.63,0,0,0,12,23,41
6.6,0,0,0,14,10,30
10.8,1,0,0,12,16,34
22.64,0,0,0,20,14,40
6.75,1,0,0,12,34,52
8,0,1,0,12,4,22
9.61,1,0,0,12,12,30
4.25,1,0,0,12,12,30
8.78,1,0,1,12,18,36
5.58,1,0,0,10,10,26
7.1,1,0,0,12,40,58
7,1,0,1,14,13,33
9,1,0,0,18,14,38
5,0,0,0,11,1,18
18,0,0,0,12,34,52
18,0,0,1,12,23,41
16.83,1,0,0,12,18,36
25.64,0,0,0,16,29,51
9.25,1,0,0,12,39,57
19.42,0,0,0,16,30,52
12.72,0,0,0,16,14,36
18.44,0,0,1,12,21,39
4.86,0,0,1,7,52,65
12,0,0,0,12,24,42
38.46,0,0,0,16,23,45
8.43,0,1,1,12,22,40
7,1,1,1,7,21,34
14.1,0,1,1,16,11,33
11,0,0,0,16,24,46
26.6,0,0,0,12,38,56
13,1,1,0,12,16,34
15,0,0,0,12,32,50
5,1,1,0,12,7,25
7.5,0,1,1,16,25,47
19,1,1,0,12,30,48
7,1,0,0,12,13,31
16.35,0,0,0,18,10,34
9.68,1,0,0,12,17,35
9.5,1,0,0,12,43,61
35.38,0,0,0,16,16,38
13.64,0,0,0,12,17,35
16.83,0,1,0,12,38,56
6.19,0,0,0,12,22,40
27.47,0,0,0,16,25,47
13.1,1,0,1,12,34,52
10.3,1,0,0,12,14,32
8,0,0,0,12,4,22
7.78,0,0,0,12,21,39
5,1,0,0,16,1,23
30.58,0,0,0,16,21,43
10,0,0,1,12,32,50
16.35,1,0,0,20,13,39
9.5,0,0,0,12,12,30
12.12,1,0,0,12,40,58
17.27,1,0,0,16,19,41
12,1,0,1,14,8,28
5,1,1,0,12,19,37
25.48,0,0,0,12,16,34
5.5,1,1,0,12,13,31
32.93,0,1,0,20,13,39
6.4,1,1,0,12,6,24
20.2,0,0,0,12,16,34
14,0,0,0,11,29,46
6,1,0,0,12,6,24
9.63,1,0,0,12,16,34
9.61,0,0,0,20,9,35
8.9,0,1,0,14,9,29
16.67,0,0,0,12,3,21
11,0,0,0,12,3,21
7.7,1,1,0,12,6,24
14.43,0,0,0,12,20,38
24.87,1,0,0,16,28,50
19,1,1,0,14,18,38
4.5,1,1,0,12,16,34
6,0,1,0,12,47,65
21.08,0,0,0,16,14,36
9.58,1,1,0,14,13,33
12,0,0,0,12,30,48
7.07,1,1,1,12,12,30
7,1,0,0,12,16,34
10.58,1,0,0,16,0,22
8.57,1,0,0,12,27,45
7.18,1,0,0,12,10,28
9.61,1,0,0,12,13,31
12.5,1,0,0,16,8,30
6.25,1,1,0,12,16,34
6,0,0,0,12,45,63
10,1,0,0,12,4,22
24.03,0,1,0,20,32,58
38.46,0,0,0,16,18,40
5.5,0,0,0,16,8,30
14.43,0,0,0,18,17,41
10,0,0,0,11,26,43
18,0,0,0,16,21,43
6.15,1,0,0,12,3,21
23.75,0,0,1,18,28,52
9.25,0,0,0,12,28,46
8.08,0,0,0,12,29,47
5,1,0,0,12,29,47
12.4,0,0,0,12,18,36
5,1,0,0,12,24,42
6.92,0,0,0,12,26,44
7.84,1,0,0,12,33,51
6.88,1,0,0,12,16,34
6.35,1,0,0,12,15,33
8.25,1,0,0,12,17,35
12.8,0,0,0,14,27,47
19.24,1,0,0,12,25,43
15,1,0,0,14,14,34
7,1,0,0,16,8,30
6,0,0,0,12,5,23
7.3,1,0,0,16,17,39
5,1,0,0,12,3,21
20.85,1,0,0,16,19,41
12.25,1,0,0,16,0,22
6.73,1,0,0,12,9,27
11.54,0,0,0,18,32,56
5,1,0,0,12,31,49
20.2,0,0,0,12,31,49
18.75,0,0,1,12,34,52
4.9,0,0,0,16,1,23
9.62,0,0,0,12,10,28
8.65,0,0,0,14,24,44
9.18,1,0,0,14,7,27
5,0,0,0,12,6,24
7.5,0,0,0,12,41,59
20.2,0,1,0,16,37,59
4.66,1,0,0,12,6,24
4.25,0,0,0,11,19,36
9.24,1,0,1,16,2,24
13.46,0,1,0,12,15,33
13.64,0,0,0,14,21,41
7.5,0,1,0,7,14,27
7.25,0,1,0,16,30,52
9.23,1,1,0,12,10,28
14.4,0,0,1,12,32,50
13,1,0,0,12,9,27
15.58,0,0,1,12,35,53
5.78,1,0,0,12,30,48
15.56,0,0,0,12,21,39
13.89,1,0,0,12,18,36
18.45,0,0,0,12,35,53
6,0,0,0,12,5,23
5,1,0,0,12,23,41
7.14,1,0,0,12,5,23
7.08,0,0,0,12,21,39
5,0,0,0,12,13,31
13.46,1,0,1,18,24,48
33,0,0,0,12,47,65
12.91,0,0,1,11,21,38
4.5,1,0,0,14,13,33
5,1,0,1,12,17,35
13,0,0,1,12,13,31
10,1,0,0,10,23,39
34.96,1,0,0,20,6,32
12.66,1,1,1,14,6,26
17.3,0,1,0,18,4,28
18.29,1,0,1,12,30,48
48.08,0,0,0,16,2,24
19.24,0,0,0,16,28,50
12,0,0,0,12,25,43
22.73,1,0,1,16,42,64
12,0,0,0,12,20,38
17.78,1,0,0,14,24,44
8.89,1,0,0,12,37,55
15,0,0,1,12,35,53
13,1,0,1,11,33,50
64.08,1,0,0,16,12,34
14,0,0,0,12,23,41
12,0,0,0,14,9,29
7,0,1,0,5,22,33
27.7,0,0,0,16,15,37
9,0,0,0,12,11,29
11,0,0,0,12,27,45
1.57,0,1,0,16,6,28
6.05,1,1,0,12,4,22
15,1,0,0,12,27,45
19.25,0,0,1,12,22,40
10.42,0,0,0,16,19,41
10.3,0,0,0,12,32,50
13.84,0,0,0,16,11,33
12,1,0,1,12,17,35
8.65,0,0,0,12,13,31
30.24,1,0,1,18,22,46
11.5,1,0,0,12,22,40
11.54,0,0,0,12,14,32
20.2,0,0,0,16,6,28
50,1,0,0,16,7,29
13,0,0,1,12,42,60
4.25,1,0,0,12,25,43
7.7,0,0,1,12,45,63
15.94,1,0,0,12,16,34
25.82,0,0,1,12,33,51
14,1,0,0,12,33,51
12.5,1,0,1,14,30,50
25.29,1,0,0,12,44,62
8.65,0,0,0,12,14,32
14,0,0,1,12,8,26
12,0,0,0,12,28,46
14.43,0,0,1,16,22,44
29.91,0,0,0,18,22,46
10.25,0,0,0,16,11,33
18.84,0,0,0,18,27,51
12,1,0,0,12,43,61
25,0,0,1,12,43,61
6.65,1,0,0,14,17,37
18,0,1,1,12,47,65
5,0,1,0,16,26,48
6.5,1,0,0,12,28,46
23.08,0,0,0,18,15,39
10.5,0,0,0,12,7,25
10,0,0,1,12,6,24
8.75,0,1,0,12,4,22
15.47,1,1,0,14,21,41
42.55,0,0,0,20,27,53
6,1,1,0,12,3,21
6.25,1,0,0,12,12,30
4,1,0,0,10,6,22
16.83,0,0,0,12,42,60
7,0,0,0,12,6,24
5.44,0,0,0,20,36,62
5,1,0,0,11,1,18
11,0,0,0,14,25,45
6.88,0,1,0,12,13,31
11,0,1,1,12,10,28
19.24,0,0,0,18,9,33
10.1,0,0,0,12,30,48
9.53,0,0,0,12,13,31
9.35,0,0,1,12,17,35
7,0,1,0,12,18,36
31.86,0,0,0,12,31,49
12.5,1,0,1,12,34,52
28.85,1,0,0,16,10,32
8,1,0,0,12,9,27
12.18,0,0,1,16,9,31
5,0,0,0,11,14,31
7.25,1,0,0,12,20,38
18,1,0,0,16,17,39
8,0,0,1,12,12,30
8,0,0,1,12,10,28
16,1,0,0,16,12,34
8.65,0,0,0,12,22,40
14.49,0,0,1,12,33,51
3.75,1,0,0,12,31,49
7.5,0,0,0,16,4,26
9,1,0,0,12,0,18
3.5,0,1,0,12,4,22
27.5,0,1,1,12,30,48
20,0,0,0,12,11,29
12,1,1,1,12,24,42
3.75,1,1,1,0,56,62
45,1,0,0,18,16,40
6,1,0,0,9,13,28
21.15,1,0,0,20,3,29
16.83,0,1,0,16,14,36
8.05,0,0,0,14,24,44
22.22,0,0,0,16,15,37
3.08,0,1,0,12,11,29
42.73,0,0,0,18,16,40
35,1,0,1,12,19,37
49.46,0,0,0,16,23,45
17.3,0,0,0,12,32,50
15.85,1,0,0,12,30,48
11.22,1,0,0,18,21,45
17.28,1,0,1,16,43,65
5,1,0,0,12,15,33
11.25,1,0,0,12,9,27
13,0,1,1,5,34,45
26.92,0,0,0,18,11,35
6.25,1,1,0,12,13,31
48.08,1,0,0,16,20,42
19.22,0,0,0,16,14,36
13.75,1,0,0,14,8,28
9.26,0,0,0,16,26,48
6.5,1,0,0,14,7,27
6.6,1,0,0,16,0,22
14.29,1,0,0,14,30,50
15.71,1,0,0,16,13,35
23.55,0,0,0,18,26,50
16.03,0,0,0,12,12,30
18,0,1,1,12,30,48
12.14,0,1,1,12,23,41
12,0,1,0,18,6,30
17.76,1,0,0,12,38,56
18,0,0,1,12,23,41
11,0,0,0,12,17,35
12,0,0,1,12,30,48
9.22,0,0,0,12,30,48
4.25,1,0,0,12,21,39
17.96,1,0,0,16,7,29
6,1,0,1,12,0,18
11.25,0,0,1,12,15,33
12.73,1,0,1,18,17,41
8,0,0,1,12,20,38
4.75,1,0,0,10,3,19
7.35,1,0,0,12,18,36
27.7,1,0,0,12,33,51
19.23,0,0,0,18,27,51
9.05,1,0,0,12,27,45
19.23,0,0,0,12,14,32
8.84,0,0,0,16,0,22
17.3,0,0,0,18,20,44
13.45,1,0,1,16,23,45
8.5,0,0,0,12,25,43
12.66,1,0,0,16,20,42
18.6,1,0,0,16,4,26
11.22,0,0,0,14,26,46
10.35,0,0,0,12,4,22
14.44,0,0,0,12,43,61
6.66,1,0,0,12,40,58
13.65,0,0,0,7,35,48
4.35,1,1,0,12,23,41
14.43,0,0,0,12,30,48
6.25,1,0,0,12,44,62
16.2,1,0,0,16,21,43
7.5,1,1,0,12,16,34
5,0,1,0,12,7,25
6,1,0,0,12,19,37
38.46,0,0,0,18,21,45
34.96,0,0,0,18,24,48
10.78,0,0,0,12,30,48
16.83,0,0,0,12,43,61
32.05,0,0,0,20,23,49
5,1,0,0,10,42,58
12.03,0,0,1,10,34,50
9.32,0,0,0,12,11,29
8,0,0,0,12,9,27
5.5,1,0,0,12,33,51
6,1,0,0,12,13,31
7,0,0,0,7,17,30
33.33,0,0,0,16,7,29
5,1,0,0,12,10,28
8.31,1,0,0,12,10,28
15,1,0,0,14,7,27
22.13,0,0,0,16,28,50
17.86,1,0,1,18,20,44
32.05,0,0,1,16,12,34
23.5,0,0,0,16,10,32
30.62,0,0,0,18,15,39
16,1,0,0,12,29,47
3.85,1,0,0,14,3,23
6.24,1,1,0,12,26,44
6.88,0,0,0,7,39,52
6.67,0,0,0,10,37,53
7.5,1,0,0,12,34,52
9.7,0,0,0,9,30,45
6.52,0,0,0,9,34,49
9.6,1,0,0,16,25,47
11,1,0,0,16,11,33
11.05,1,0,0,16,2,24
6.5,1,1,0,9,21,36
5.75,0,0,0,16,13,35
5.4,1,0,0,12,2,20
6.78,1,0,0,12,2,20
16,1,0,0,12,44,62
10.16,0,0,0,12,25,43
1.5,1,0,0,14,17,37
9.33,0,0,0,16,4,26
13.52,1,0,1,12,27,45
4.25,0,0,0,12,4,22
